imdb_title_id,mean_vote
tt0000009,5.9
tt0000574,6.3
tt0001892,6.0
tt0002101,5.3
tt0002130,6.9
tt0002199,5.8
tt0002423,6.8
tt0002445,6.2
tt0002452,7.1
tt0002461,5.4
tt0002646,6.6
tt0002844,6.6
tt0003014,7.2
tt0003037,6.5
tt0003102,6.3
tt0003131,6.7
tt0003165,6.6
tt0003167,6.1
tt0003419,6.5
tt0003471,6.0
tt0003489,6.1
tt0003637,6.5
tt0003643,6.8
tt0003657,6.5
tt0003740,6.5
tt0003772,6.7
tt0003883,7.6
tt0003930,6.5
tt0003973,6.0
tt0004026,5.9
tt0004066,6.9
tt0004099,5.2
tt0004134,6.3
tt0004150,6.0
tt0004181,7.2
tt0004457,5.6
tt0004465,7.5
tt0004635,6.1
tt0004681,6.4
tt0004707,7.1
tt0004712,6.4
tt0004743,5.4
tt0004766,5.6
tt0004825,6.3
tt0004838,5.7
tt0004872,5.8
tt0004873,6.2
tt0004972,6.4
tt0005060,6.8
tt0005078,6.3
tt0005149,6.1
tt0005339,6.0
tt0005402,6.5
tt0005529,6.9
tt0005557,6.5
tt0005680,5.9
tt0005719,5.9
tt0005809,7.0
tt0005916,6.5
tt0005951,7.0
tt0005960,6.7
tt0006206,6.7
tt0006327,6.0
tt0006333,6.9
tt0006509,6.5
tt0006517,6.1
tt0006589,7.1
tt0006617,6.0
tt0006688,6.4
tt0006731,6.4
tt0006736,6.6
tt0006745,6.5
tt0006753,6.8
tt0006780,6.5
tt0006809,6.0
tt0006826,6.7
tt0006864,7.8
tt0006886,6.4
tt0007047,6.7
tt0007183,6.8
tt0007257,6.4
tt0007260,6.6
tt0007309,5.7
tt0007338,6.4
tt0007340,6.9
tt0007361,5.9
tt0007367,6.4
tt0007522,6.1
tt0007558,6.2
tt0007610,5.9
tt0007755,5.8
tt0007801,5.9
tt0007983,6.4
tt0008011,6.3
tt0008100,6.7
tt0008150,6.3
tt0008188,6.5
tt0008196,6.6
tt0008279,6.4
tt0008309,6.6
tt0008395,6.8
tt0008443,6.8
tt0008489,6.8
tt0008499,7.0
tt0008519,6.6
tt0008536,6.7
tt0008634,6.2
tt0008652,6.2
tt0008663,7.2
tt0008672,6.4
tt0008679,7.0
tt0008687,6.3
tt0008710,6.9
tt0008775,6.8
tt0008827,6.6
tt0008843,6.0
tt0008854,5.5
tt0008879,6.9
tt0008891,6.7
tt0008930,6.0
tt0008950,6.1
tt0009014,6.0
tt0009062,6.0
tt0009086,6.2
tt0009150,6.8
tt0009153,6.1
tt0009241,6.5
tt0009326,6.5
tt0009356,6.5
tt0009369,7.1
tt0009440,6.4
tt0009475,6.4
tt0009559,6.7
tt0009608,7.3
tt0009611,6.7
tt0009652,7.4
tt0009682,5.9
tt0009701,6.7
tt0009737,6.0
tt0009796,6.5
tt0009878,6.8
tt0009892,7.1
tt0009893,6.8
tt0009894,7.0
tt0009900,6.9
tt0009915,7.0
tt0009937,6.6
tt0009968,7.5
tt0009976,6.7
tt0010040,7.3
tt0010060,6.6
tt0010071,7.7
tt0010103,6.5
tt0010137,7.5
tt0010162,8.2
tt0010193,6.5
tt0010195,7.0
tt0010208,5.7
tt0010219,6.5
tt0010227,6.5
tt0010247,6.8
tt0010267,6.8
tt0010281,7.0
tt0010298,6.9
tt0010307,7.0
tt0010323,7.9
tt0010418,7.8
tt0010456,6.3
tt0010466,5.8
tt0010484,7.0
tt0010559,6.5
tt0010598,6.1
tt0010600,7.0
tt0010635,6.6
tt0010662,6.5
tt0010680,5.8
tt0010726,6.4
tt0010755,6.9
tt0010806,7.2
tt0010821,6.0
tt0010844,6.4
tt0010853,6.8
tt0010879,7.0
tt0010890,6.2
tt0010925,6.4
tt0010953,6.7
tt0010962,6.8
tt0010964,8.4
tt0010969,6.9
tt0011000,6.8
tt0011130,7.1
tt0011157,6.7
tt0011173,6.3
tt0011193,6.9
tt0011217,6.7
tt0011221,6.0
tt0011237,7.2
tt0011267,5.4
tt0011294,7.2
tt0011302,6.9
tt0011317,6.6
tt0011344,6.7
tt0011358,6.5
tt0011369,8.6
tt0011370,7.1
tt0011371,6.8
tt0011387,6.9
tt0011414,6.8
tt0011415,6.2
tt0011439,7.3
tt0011440,6.4
tt0011474,6.4
tt0011513,6.2
tt0011588,6.7
tt0011607,7.2
tt0011623,8.4
tt0011641,6.8
tt0011647,6.1
tt0011652,6.2
tt0011679,6.6
tt0011716,7.9
tt0011723,6.5
tt0011741,6.7
tt0011742,6.3
tt0011753,5.8
tt0011779,6.7
tt0011833,6.9
tt0011837,6.2
tt0011841,7.9
tt0011865,7.9
tt0011870,6.4
tt0011904,7.0
tt0011908,6.3
tt0011909,7.8
tt0011948,6.9
tt0011960,7.0
tt0011979,6.8
tt0012016,8.2
tt0012027,6.7
tt0012068,7.0
tt0012122,5.9
tt0012125,7.2
tt0012134,6.9
tt0012136,7.9
tt0012187,6.8
tt0012190,7.8
tt0012249,7.2
tt0012281,6.8
tt0012313,6.9
tt0012314,6.7
tt0012334,6.8
tt0012349,8.2
tt0012364,7.9
tt0012382,6.3
tt0012397,7.0
tt0012408,6.8
tt0012465,7.0
tt0012486,6.2
tt0012494,7.4
tt0012513,6.6
tt0012532,7.8
tt0012538,6.7
tt0012631,6.7
tt0012642,7.0
tt0012645,6.8
tt0012650,6.5
tt0012651,6.3
tt0012675,7.2
tt0012699,6.8
tt0012745,6.7
tt0012752,7.0
tt0012755,7.0
tt0012763,7.9
tt0012769,6.0
tt0012806,6.3
tt0012928,7.9
tt0012938,7.7
tt0012952,7.2
tt0012973,7.0
tt0012975,7.6
tt0013033,6.6
tt0013059,6.6
tt0013075,7.2
tt0013085,6.2
tt0013122,6.6
tt0013134,6.7
tt0013140,7.1
tt0013169,6.7
tt0013201,7.1
tt0013223,5.0
tt0013332,7.0
tt0013367,5.7
tt0013372,6.8
tt0013386,6.8
tt0013402,6.9
tt0013404,6.8
tt0013428,7.0
tt0013442,7.9
tt0013450,6.9
tt0013469,6.5
tt0013496,7.0
tt0013515,6.9
tt0013556,7.4
tt0013571,6.7
tt0013574,6.9
tt0013579,6.9
tt0013590,7.8
tt0013592,6.6
tt0013597,6.1
tt0013607,6.0
tt0013619,6.2
tt0013662,7.3
tt0013674,7.0
tt0013688,6.8
tt0013704,6.8
tt0013705,6.2
tt0013741,6.6
tt0013750,8.2
tt0013802,7.3
tt0013830,7.1
tt0013909,7.3
tt0013933,7.3
tt0013951,6.8
tt0014029,7.8
tt0014108,7.1
tt0014109,7.2
tt0014112,5.6
tt0014142,7.3
tt0014205,8.2
tt0014341,7.8
tt0014358,7.4
tt0014397,6.9
tt0014416,6.7
tt0014417,7.6
tt0014429,8.0
tt0014440,7.2
tt0014446,6.8
tt0014463,6.9
tt0014497,7.2
tt0014516,7.1
tt0014524,6.4
tt0014532,6.9
tt0014538,7.1
tt0014586,6.8
tt0014604,7.1
tt0014605,7.0
tt0014606,6.5
tt0014611,7.4
tt0014624,7.1
tt0014636,8.0
tt0014646,6.7
tt0014672,6.4
tt0014702,7.0
tt0014721,6.1
tt0014760,7.1
tt0014770,6.8
tt0014826,5.9
tt0014854,7.0
tt0014869,7.8
tt0014874,6.5
tt0014898,6.8
tt0014900,6.6
tt0014925,6.5
tt0014945,7.9
tt0014972,7.7
tt0014982,7.1
tt0015002,7.3
tt0015014,7.3
tt0015016,7.3
tt0015018,7.5
tt0015022,8.3
tt0015036,6.7
tt0015064,7.9
tt0015116,8.0
tt0015119,7.4
tt0015136,7.2
tt0015145,7.8
tt0015163,7.8
tt0015167,6.8
tt0015174,7.6
tt0015175,7.7
tt0015200,6.9
tt0015202,7.1
tt0015213,6.9
tt0015214,7.3
tt0015224,7.3
tt0015268,7.3
tt0015289,6.7
tt0015310,7.3
tt0015312,7.5
tt0015324,7.9
tt0015361,7.5
tt0015400,7.8
tt0015493,6.4
tt0015498,7.1
tt0015500,8.1
tt0015518,8.4
tt0015532,7.6
tt0015624,8.0
tt0015634,6.3
tt0015643,7.4
tt0015648,7.8
tt0015684,6.7
tt0015687,6.8
tt0015693,7.5
tt0015758,7.1
tt0015768,7.1
tt0015772,7.2
tt0015794,6.4
tt0015801,7.1
tt0015841,7.4
tt0015842,7.3
tt0015847,6.1
tt0015861,6.7
tt0015863,7.2
tt0015864,8.1
tt0015872,7.0
tt0015881,7.7
tt0015883,6.9
tt0015909,7.0
tt0015935,6.9
tt0016004,7.5
tt0016005,6.4
tt0016006,7.3
tt0016013,7.5
tt0016023,8.4
tt0016028,7.6
tt0016029,7.2
tt0016039,7.1
tt0016104,8.0
